time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/15:00:17.498567,$GPGGA,42.34063333333334,-71.09754,7.2,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:18.492488,$GPGGA,42.34063333333334,-71.09754,7.2,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:19.492181,$GPGGA,42.34063333333334,-71.09754,7.2,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:20.492283,$GPGGA,42.34063333333334,-71.09754,7.2,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:21.498312,$GPGGA,42.34063333333334,-71.09754,7.2,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:22.502958,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:23.497411,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:24.498201,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:25.498126,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:26.497862,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:27.502681,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:28.497622,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:29.492720,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:30.493028,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:31.492800,$GPGGA,42.34063333333334,-71.09754,7.1,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:32.493066,$GPGGA,42.34063333333334,-71.09754,7.0,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:33.493004,$GPGGA,42.34063333333334,-71.09754,7.0,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:34.492708,$GPGGA,42.34063333333334,-71.09754,7.0,327212.60851034895,4689728.23400814,19,T
2022/02/08/15:00:35.492106,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:36.492907,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:37.492907,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:38.492481,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:39.492283,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:40.492445,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:41.493222,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:42.493441,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:43.497640,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:44.492041,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:45.492628,$GPGGA,42.340635000000006,-71.09754,7.0,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:46.496758,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:47.492632,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:48.500093,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:49.494912,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:50.495539,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:51.494373,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:52.493799,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:53.493149,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:54.493949,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:55.495448,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:56.492885,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:57.495979,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:58.492925,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:00:59.492448,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:00.494043,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:01.496393,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:02.495736,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:03.496574,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:04.492950,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:05.492463,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:06.492864,$GPGGA,42.340635000000006,-71.09754,6.9,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:07.493117,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:08.493022,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:09.499992,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:10.497158,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:11.498439,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:12.498077,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:13.497486,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:14.503369,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:15.497260,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:16.498028,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:17.498642,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:18.492846,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:19.492564,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:20.498544,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:21.499080,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:22.492759,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:23.492814,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:24.493229,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:25.492396,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:26.492502,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:27.492541,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:28.493113,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:29.493223,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:30.492694,$GPGGA,42.340635000000006,-71.09754,6.8,327212.61307578447,4689728.419078964,19,T
2022/02/08/15:01:31.497769,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:32.493251,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:33.492702,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:34.491696,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:35.492730,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:36.499663,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:37.494060,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:38.492980,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:39.494488,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:40.493535,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:41.498968,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:42.494105,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:43.492879,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:44.492812,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:45.492675,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:46.491956,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:47.492436,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:48.493579,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:49.493252,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:50.492148,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:51.491746,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:52.492999,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:53.492952,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:54.493410,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:55.493351,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:56.499151,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:57.493111,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:58.492483,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:59.495472,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:00.512561,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:01.502359,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:02.492868,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:03.497790,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:04.499978,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:05.499210,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:06.504011,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:07.499475,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:08.493036,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:09.499678,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:10.498858,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:11.498366,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:12.499933,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:13.498898,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:14.498639,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:15.498746,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:16.499076,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:17.499147,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:18.499910,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:19.492855,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:20.492985,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:21.494061,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:22.498215,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:23.498009,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:24.499794,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:25.499947,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:26.492960,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:27.504771,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:28.499703,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:29.499414,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:30.493892,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:31.492074,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:32.497844,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:33.492837,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:34.492455,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:35.498412,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:36.495417,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:37.494296,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:38.494042,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:39.492481,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:40.500230,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:41.493186,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:42.495325,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:43.499184,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:44.493745,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:45.499391,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:46.498893,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:47.493363,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:48.500281,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:49.493072,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:50.498160,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:51.492773,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:52.499022,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:53.493925,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:54.494109,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:55.492998,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:56.494716,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:57.494875,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:58.500782,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:59.498194,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:00.494065,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:01.494550,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:02.493462,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
